step,loss,epsilon,buffer_size
500,0.031521059572696686,0.990519,500
1000,0.030490754172205925,0.981019,1000
1500,0.014874977059662342,0.971519,1500
2000,0.012591829523444176,0.962019,2000
2500,0.01613122783601284,0.952519,2500
3000,0.012315725907683372,0.943019,3000
3500,0.015381983481347561,0.933519,3500
4000,0.009942527860403061,0.924019,4000
4500,0.013982539065182209,0.914519,4500
5000,0.01431787759065628,0.905019,5000
5500,0.013554207980632782,0.895519,5500
6000,0.014530248939990997,0.886019,6000
6500,0.02237585000693798,0.876519,6500
7000,0.018546171486377716,0.867019,7000
7500,0.014949291944503784,0.857519,7500
8000,0.012501416727900505,0.848019,8000
8500,0.03597082942724228,0.838519,8500
9000,0.01650160178542137,0.829019,9000
9500,0.0219349917024374,0.819519,9500
10000,0.014745991677045822,0.810019,10000
10500,0.01786099001765251,0.800519,10500
11000,0.01952642761170864,0.791019,11000
11500,0.030195988714694977,0.7815190000000001,11500
12000,0.03972477465867996,0.772019,12000
12500,0.02914426103234291,0.762519,12500
13000,0.029701629653573036,0.753019,13000
13500,0.02234603464603424,0.743519,13500
14000,0.025885580107569695,0.734019,14000
14500,0.023655971512198448,0.724519,14500
15000,0.02827901765704155,0.7150190000000001,15000
15500,0.035048261284828186,0.705519,15500
16000,0.03137990087270737,0.696019,16000
16500,0.03354548290371895,0.6865190000000001,16500
17000,0.02242072857916355,0.677019,17000
17500,0.14291714131832123,0.667519,17500
18000,0.07090185582637787,0.658019,18000
18500,0.09578374028205872,0.6485190000000001,18500
19000,0.051770105957984924,0.639019,19000
19500,0.09166732430458069,0.629519,19500
20000,0.05103781819343567,0.6200190000000001,20000
20500,0.04875040426850319,0.610519,20500
21000,0.06755940616130829,0.601019,21000
21500,0.16807422041893005,0.591519,21500
22000,0.16606074571609497,0.5820190000000001,22000
22500,0.1711357980966568,0.572519,22500
23000,0.27701234817504883,0.563019,23000
23500,0.50385582447052,0.5535190000000001,23500
24000,1.3318620920181274,0.544019,24000
24500,1.189774513244629,0.534519,24500
25000,1.0802087783813477,0.525019,25000
25500,1.6899693012237549,0.5155190000000001,25500
26000,2.6936330795288086,0.506019,26000
26500,3.479158401489258,0.49651900000000004,26500
27000,3.648181915283203,0.487019,27000
27500,7.4820990562438965,0.477519,27500
28000,5.225367546081543,0.46801899999999996,28000
28500,6.144155025482178,0.458519,28500
29000,5.755856037139893,0.44901899999999995,29000
29500,8.662052154541016,0.4395190000000001,29500
30000,12.786922454833984,0.43001900000000004,30000
30500,12.327980995178223,0.4205190000000001,30500
31000,14.321460723876953,0.411019,31000
31500,8.584298133850098,0.40151900000000007,31500
32000,14.024284362792969,0.392019,32000
32500,18.344972610473633,0.38251900000000005,32500
33000,19.767066955566406,0.373019,33000
33500,14.812779426574707,0.36351900000000004,33500
34000,28.97900390625,0.354019,34000
34500,29.34217071533203,0.344519,34500
35000,32.14722442626953,0.33501899999999996,35000
35500,32.0630989074707,0.325519,35500
36000,49.0286750793457,0.31601900000000005,36000
36500,38.90195083618164,0.3065190000000001,36500
37000,48.741790771484375,0.29701900000000003,37000
37500,50.86553192138672,0.2875190000000001,37500
38000,54.11125946044922,0.278019,38000
38500,43.98333740234375,0.26851900000000006,38500
39000,42.26006317138672,0.259019,39000
39500,111.69259643554688,0.24951900000000005,39500
40000,64.2301025390625,0.24001899999999998,40000
40500,80.37802124023438,0.23051900000000003,40500
41000,140.00924682617188,0.22101899999999997,41000
41500,101.2757797241211,0.211519,41500
42000,98.70990753173828,0.20201900000000006,42000
42500,145.9229278564453,0.1925190000000001,42500
43000,82.70838165283203,0.18301900000000004,43000
43500,154.88401794433594,0.1735190000000001,43500
44000,95.15978240966797,0.16401900000000003,44000
44500,170.64413452148438,0.15451900000000007,44500
45000,127.75837707519531,0.145019,45000
45500,114.77496337890625,0.13551900000000006,45500
46000,171.0518035888672,0.126019,46000
46500,125.71894836425781,0.11651900000000004,46500
47000,140.5087890625,0.10701899999999998,47000
47500,137.66542053222656,0.09751900000000002,47500
48000,182.42796325683594,0.08801899999999996,48000
48500,117.87049865722656,0.07851900000000012,48500
49000,134.3443145751953,0.06901900000000005,49000
49500,177.7499237060547,0.0595190000000001,49500
50000,209.59527587890625,0.050019000000000036,50000
50500,137.9470672607422,0.050000000000000044,50500
51000,184.73110961914062,0.050000000000000044,51000
51500,161.11923217773438,0.050000000000000044,51500
52000,152.2579803466797,0.050000000000000044,52000
52500,159.82398986816406,0.050000000000000044,52500
